,F1,F2,Unnamed: 1,centering,czy_ostatnie,index,l1,l2sens,realization,set,sylaby przydawka,target
0,Damian nie potrafił zaimponować Sylwii.,Jego zaloty w ogóle na nią nie działały.,"Damian nie potrafił zaimponować Sylwii, która ostatnio bardzo wydoroślała.",filler31,,,,,filler,sensible,,filler31
1,Agnieszka pomagała w lekcjach Adamowi.,"Gdyby nie Agnieszka, Adam by chodził w porwanych skarpetkach.","Agnieszka pomagała w lekcjach Adamowi, który przez dwa miesiące chorował.",filler16,,,,,noun,nonsensible,,filler16
2,Konrad umówił się z Błażejem pod sklepem.,"On siedział pod sklepem godzinę, jednak nie doczekał się Konrada.","Konrad umówił się pod sklepem z Błażejem, który zawsze przychodził punktualnie.",noncentered,1.0,178.0,19.0,16.0,pronoun,30,,target
3,Olek znowu zdradził Franciszkę.,Nie mogła sobie z tym poradzić.,"Olek znowu zdradził Franciszkę, z którą nie dogadywał się od dłuższego czasu.",filler38,,,,,filler,sensible,,filler38
4,Lena nie jest w stanie skontaktować się z Klarą.,"Lena przynajmniej od tygodnia ma zepsuty telefon, więc nie może zadzwonić do Klary.","Lena nie jest w stanie skontaktować się z Klarą, która nic jeszcze nie wie o wypadku.",centered,1.0,158.0,26.0,0.0,noun,27,,target
5,Zuzia była najlepszą przyjaciółką Justyny.,Wszystko robiły razem i zawsze były ze sobą zgodne.,"Zuzia była najlepszą przyjaciółką Justyny, która była jej daleką kuzynką.",filler28,,,,,filler,sensible,,filler28
6,Bartek z wściekłością wyrzucił Maćka z pokoju.,"On szybko się denerwował, gdy Maciek przeszkadzał mu w pracy.","Bartek z wściekłością wyrzucił z pokoju Maćka, który bardzo głośno słuchał muzyki.",centered,0.0,49.0,18.0,9.0,pronoun,9,,target
7,Zosia nie potrafiła doradzić Lucynie.,Problem ten był dla niej zbyt skomplikowany.,"Zosia nie potrafiła doradzić Lucynie, która od tygodnia chodziła załamana.",filler25,,,,,filler,sensible,,filler25
8,Staś próbował zrobić ulubiony tort Doroty.,"Dobrze robił fikołki, a Dorota lubiła czytać kryminały.","Staś próbował zrobić ulubiony tort Doroty, która bardzo lubiła słodycze.",filler12,,,,,pronoun,nonsensible,,filler12
9,Aniela znalazła pracę w firmie Bartka.,Zawsze lubili razem pracować.,"Aniela znalazła pracę w firmie Bartka, który zaproponował jej wolną posadę.",filler36,,,,,filler,sensible,,filler36
10,Jacek szczerze przeprosił Piotra.,Był wczoraj bardzo niemiły dla Piotra.,"Jacek szczerze przeprosił Piotra, który cały dzień uparcie milczał.",centered,1.0,0.0,11.0,5.0,null,1,10.0,target
11,Prosiaczek lubił jeść z Puchatkiem miód.,"On często ziewał, gdy Puchatek wchodził na drzewo.","Prosiaczek lubił jeść miód z Puchatkiem, który mieszkał na zachód od Stumilowego Lasu.",filler14,,,,,pronoun,nonsensible,,filler14
12,Dla Radka najważniejsze było bezpieczeństwo Oli.,Dlatego wysłał ją na kurs samoobrony.,"Dla Radka najważniejsze było bezpieczeństwo Oli, która często wracała sama do domu po zmroku.",filler22,,,,,filler,sensible,,filler22
13,Rafał często znęcał się nad Grzesiem.,W końcu któregoś dnia postanowił poskarżyć się na Rafała. ,"Rafał często znęcał się nad Grzesiem, który nawet nie starał się bronić.",noncentered,1.0,69.0,14.0,11.0,null,12,,target
14,Tomek zaplanował wyjazd z Magdą.,"Jakby Tomek nie zjadł pączka, to Magda nie byłaby zła.","Tomek zaplanował wyjazd z Magdą, która była dziewczyną jego najlepszego przyjaciela.",filler17,,,,,noun,nonsensible,,filler17
15,Adrian zawsze liczył się ze zdaniem Gosi.,"Uważał, że ona ma naprawdę fantastyczny gust.","Adrian zawsze liczył się ze zdaniem Gosi, która zajmowała się aranżacją wnętrz.",filler34,,,,,filler,sensible,,filler34
16,Staś pomógł Adamowi myć samochód.,"Wiedział, że prawdopodobnie Staś będzie chciał zapłatę.","Staś pomógł myć samochód Adamowi, który robił to pierwszy raz w życiu.",noncentered,0.0,81.0,15.0,8.0,null,14,,target
17,Lilka zaprzyjaźniła się z Marianką.,Lubiły bawić się razem lalkami.,"Lilka zaprzyjaźniła się z Marianką, która jest od niej młodsza tylko o dwa miesiące.",filler37,,,,,filler,sensible,,filler37
18,Asia znalazła na strychu stary pamiętnik Ewy.,"Ona, pamiętając, co kiedyś o niej napisała, nie mogła zdobyć się na rozmowę z Asią.","Asia znalazła na strychu stary pamiętnik Ewy, która zawsze wydawała się miła.",noncentered,1.0,64.0,28.0,26.0,pronoun,11,,target
19,Zrozpaczona Zosia przytuliła się do Maćka.,"Zosia przeczytała ""Lalkę"", którą Maciek omawiał na lekcji.","Zrozpaczona Zosia przytuliła się do Maćka, na którego zawsze mogła liczyć.",filler20,,,,,noun,nonsensible,,filler20
20,Paweł uczył Paulinę jeździć na łyżwach.,Dlatego poszli na lodowisko.,"Paweł uczył jeździć na łyżwach Paulinę, którą już od miesiąca stara się poderwać.",filler39,,,,,filler,sensible,,filler39
21,Hania zgubiła podczas wycieczki złote kolczyki Julii.,"Julia będzie musiała przyznać się mamie, że pożyczyła kolczyki Hani.","Hania zgubiła podczas wycieczki złote kolczyki Julii, która lubiła ładną biżuterię.",noncentered,1.0,107.0,22.0,0.0,noun,18,,target
22,Gracjan jest największym fanem The Chainsmokers.,Chodził na wszystkie ich koncerty.,"Gracjan jest największym fanem The Chainsmokers, których manadżerem jest Adam Alpert.",filler33,,,,,filler,sensible,,filler33
23,Basia w sekrecie powiedziała Oli o wypadku.,"Basia wie, że nie dotrzymała tajemnicy, wszystko mówiąc Oli.","Basia w sekrecie powiedziała o wypadku Oli, której oczy lśniły z ciekawości.",centered,1.0,116.0,19.0,0.0,noun,20,,target
24,Kacper zabrał Sebastiana na wycieczkę.,Sebastianowi podobała się ich wspólna wyprawa.,"Kacper zabrał na wycieczkę Sebastiana, który nigdy wcześniej nie był za granicą.",filler21,,,,,filler,sensible,,filler21
25,Marek kopnął w nogę Ziemowita.,Największe dzieło Marka podobało się najbardziej Ziemowitowi.,"Marek kopnął w nogę Ziemowita, który był po prostu bardzo irytujący.",filler7,,,,,noun,nonsensible,,filler7
26,Grażyna przesłała e-mailem Klarze podziękowania.,"Nie wiedziała, co powinna odpowiedzieć Grażynie.","Grażyna przesłała e-mailem podziękowania Klarze, której pomoc była nieoceniona.",noncentered,1.0,27.0,13.0,11.0,null,5,,target
27,Irena odziedziczyła cały spadek po Konradzie.,Stała się z dnia na dzień obrzydliwie bogata.,"Irena odziedziczyła cały spadek po Konradzie, który niespodziewanie zmarł w czasie wakacji.",filler30,,,,,filler,sensible,,filler30
28,Olga przepisała pracę domową od Ani.,"Olga nie podejrzewała, jakie nieprzyjemności będzie miała z tego powodu Ania.","Olga przepisała pracę domową od Ani, która popełniła specyficzny błąd.",centered,1.0,134.0,27.0,0.0,noun,23,,target
